order_id,date,store,category,customer,qty,unit_price,amount,is_return
SO-202604-0039,2026-04-02,深圳南山店,Bakery,孙则明,1,20.71,20.71,No
SO-202604-0024,2026-04-26,上海静安店,Coffee,王雅琴,4,34.08,136.32,No
SO-202604-0012,2026-04-05,北京海淀店,Bakery,周知微,-2,11.12,-22.24,Yes
SO-202604-0011,2026-04-10,北京海淀店,Milk Tea,冯砚白,3,21.89,65.67,No
SO-202604-0016,2026-04-16,北京海淀店,Coffee,蒋清和,4,25.91,103.64,No
SO-202604-0041,2026-04-25,深圳南山店,Coffee,吴听澜,2,32.27,64.54,No
SO-202604-0022,2026-04-27,北京海淀店,Milk Tea,沈酌月,4,25.3,101.2,No
SO-202604-0013,2026-04-12,北京海淀店,Bakery,郑亦初,1,17.68,17.68,No
SO-202604-0002,2026-04-01,北京朝阳店,Milk Tea,冯砚白,-4,20.31,-81.24,Yes
SO-202604-0004,2026-04-03,北京朝阳店,Coffee,周知微,3,27.41,82.23,No
SO-202604-0026,2026-04-04,上海静安店,Bakery,郑亦初,1,17.79,17.79,No
SO-202604-0015,2026-04-11,北京海淀店,Milk Tea,郑亦初,3,19.49,58.47,No
SO-202604-0029,2026-04-09,上海静安店,Milk Tea,孙则明,2,31.57,63.14,No
SO-202604-0042,2026-04-15,深圳南山店,Coffee,冯砚白,1,22.73,22.73,No
SO-202604-0032,2026-04-21,上海静安店,Coffee,赵宛清,2,26.69,53.38,No
SO-202604-0040,2026-04-24,深圳南山店,Milk Tea,陈嘉禾,1,31.35,31.35,No
SO-202604-0005,2026-04-28,北京朝阳店,Milk Tea,郑亦初,2,27.88,55.76,No
SO-202604-0027,2026-04-14,上海静安店,Milk Tea,王雅琴,4,30.39,121.56,No
SO-202604-0017,2026-04-14,北京海淀店,Coffee,陈嘉禾,1,19.76,19.76,No
SO-202604-0023,2026-04-08,上海静安店,Coffee,刘闻笛,4,35.56,142.24,No
SO-202604-0020,2026-04-22,北京海淀店,Bakery,陈嘉禾,3,10.98,32.94,No
SO-202604-0038,2026-04-28,深圳南山店,Coffee,张慕之,4,28.46,113.84,No
SO-202604-0001,2026-04-04,北京朝阳店,Milk Tea,褚南舟,4,30.47,121.88,No
SO-202604-0034,2026-04-16,深圳南山店,Milk Tea,陈嘉禾,1,26.02,26.02,No
SO-202604-0036,2026-04-18,深圳南山店,Milk Tea,冯砚白,2,18.48,36.96,No
SO-202604-0037,2026-04-19,深圳南山店,Coffee,李思远,1,21.84,21.84,No
SO-202604-0030,2026-04-07,上海静安店,Milk Tea,蒋清和,4,25.21,100.84,No
SO-202604-0018,2026-04-11,北京海淀店,Milk Tea,陈嘉禾,3,26.32,78.96,No
SO-202604-0028,2026-04-07,上海静安店,Coffee,许砚秋,4,31.62,126.48,No
SO-202604-0006,2026-04-28,北京朝阳店,Milk Tea,许砚秋,4,30.02,120.08,No
SO-202604-0008,2026-04-07,北京朝阳店,Bakery,陈嘉禾,3,14.04,42.12,No
SO-202604-0033,2026-04-14,上海静安店,Coffee,陈嘉禾,1,20.19,20.19,No
SO-202604-0021,2026-04-12,北京海淀店,Milk Tea,孙则明,3,19.97,59.91,No
SO-202604-0031,2026-04-26,上海静安店,Milk Tea,许砚秋,1,23.34,23.34,No
SO-202604-0009,2026-04-27,北京海淀店,Bakery,吴听澜,1,16.72,16.72,No
SO-202604-0010,2026-04-13,北京海淀店,Coffee,褚南舟,3,20.58,61.74,No
SO-202604-0003,2026-04-07,北京朝阳店,Bakery,李思远,4,21.24,84.96,No
SO-202604-0035,2026-04-21,深圳南山店,Bakery,王雅琴,1,24.7,24.7,No
SO-202604-0019,2026-04-25,北京海淀店,Milk Tea,王雅琴,2,29.44,58.88,No
SO-202604-0014,2026-04-03,北京海淀店,Milk Tea,朱明夏,2,26.95,53.9,No
SO-202604-0043,2026-04-09,深圳南山店,Coffee,陈嘉禾,4,27.52,110.08,No
SO-202604-0007,2026-04-04,北京朝阳店,Milk Tea,孙则明,4,30.5,122.0,No
