order_id,date,store,category,customer,qty,unit_price,amount
SO-202608-0039,2026-08-25,深圳南山店, Milk Tea,褚南舟,4,26.43,105.72
SO-202608-0019,2026-08-20,北京海淀店,Bakery,蒋清和,1,18.15,18.15
SO-202608-0033,2026-08-14,上海静安店, Coffee,陈嘉禾,4,24.26,97.04
SO-202608-0017,2026-08-05,北京海淀店,Coffee,吴听澜,,22.92,
SO-202608-0004,2026-08-04,北京朝阳店,Bakery,蒋清和,3,15.02,45.06
SO-202608-0021,2026-08-25,北京海淀店,Coffee,周知微,2,33.61,67.22
SO-202608-0043,2026-08-18,深圳南山店,Coffee,沈酌月,3,24.33,72.99
SO-202608-0018,2026-08-25,北京海淀店,Bakery, 朱明夏,4,23.62,94.48
SO-202608-0040,2026-08-10,深圳南山店,milk tea,周知微,4,24.74,
SO-202608-0027,2026-08-01,北京海淀店,Coffee,许砚秋,4,37.95,151.80
SO-202608-0044,2026-08-18,深圳南山店,Milk Tea, 蒋清和,2,19.05,38.10
SO-202608-0016,2026-08-09, 北京海淀店,Bakery, 冯砚白,2,12.27,24.54
SO-202608-0020,2026-08-13,北京海淀店, Bakery,蒋清和,3,9.93,29.79
SO-202608-0023,2026/8/12,北京海淀店,Milk Tea,蒋清和,2,31.91,63.82
SO-202608-0024,2026/8/12,北京海淀店,Milk Tea,张慕之,2,19.85,39.70
SO-202608-0032,2026-08-27,上海静安店,Milk Tea,孙则明,4,24.92,99.68
SO-202608-0031,2026-08-14,上海静安店,Bakery,冯砚白,2,13.18,26.36
SO-202608-0003,2026-08-10,北京朝阳店,Bakery,张慕之,2,9.69,19.38
SO-202608-0022,2026-08-06, 北京海淀店,Coffee,褚南舟,2,25.88,51.76
SO-202608-0042,2026-08-17, 深圳南山店,Milk Tea,秦望舒,1,17.77,17.77
SO-202608-0029,2026-08-21,上海静安店,Coffee,许砚秋,2,36.69,73.38
SO-202608-0041,2026-08-02,深圳南山店,Coffee,朱明夏,4,20.34,81.36
SO-202608-0030,2026-08-16,上海静安店,Bakery,郑亦初,4,24.22,96.88
SO-202608-0011,2026-08-06,北京朝阳店, Milk Tea,吴听澜,1,31.40,31.40
SO-202608-0035,2026-08-20,上海静安店,Bakery,沈酌月,4,13.09,52.36
SO-202608-0001,2026-08-21,北京朝阳店,Milk Tea,秦望舒,1,16.36,16.36
SO-202608-0006,2026-08-19,北京朝阳店, Bakery,赵宛清,4,16.50,66.00
SO-202608-0010,2026.08.16,北京朝阳店,Coffee,刘闻笛,-4,30.55,-122.20
SO-202608-0012,2026-08-25,北京朝阳店,Milk Tea,张慕之,-2,27.58,-55.16
SO-202608-0009,2026-08-09,北京朝阳店,Coffee,卫疏桐,3,34.59,103.77
SO-202608-0013,2026-08-12,北京朝阳店,Bakery,郑亦初,4,17.54,70.16
SO-202608-0026,2026-08-08,北京海淀店,MILK TEA,秦望舒,4,26.58,106.32
SO-202608-0014,2026-08-27,北京海淀店,COFFEE,冯砚白,4,22.91,91.64
SO-202608-0037,2026/8/21,深圳南山店,Bakery,陈嘉禾,4,16.36,
SO-202608-0025,2026-08-25,北京海淀店,Milk Tea ,朱明夏,4,17.73,70.92
SO-202608-0028,2026-08-05,上海静安店,Bakery,张慕之,1,22.76,22.76
SO-202608-0038,2026-08-09,深圳南山店,Milk Tea,张慕之,4,26.10,104.40
SO-202608-0002,2026-08-03,北京朝阳店,Coffee,朱明夏,4,25.73,102.92
SO-202608-0036,2026-08-16,深圳南山店,Bakery,王雅琴,1,23.51,23.51
SO-202608-0007,2026-08-22,北京朝阳店,Milk Tea,蒋清和,3,29.96,89.88
SO-202608-0034,2026-08-14,上海静安店, Coffee,王雅琴,4,34.74,138.96
SO-202608-0045,2026.08.18, 深圳南山店,Coffee,韩令仪,1,36.33,36.33
SO-202608-0013,2026-08-12,北京朝阳店,Bakery,郑亦初,4,17.54,70.16
SO-202608-0015,2026/8/1,北京海淀店,Milk Tea,李思远,2,18.09,36.18
SO-202608-0036,2026-08-16,深圳南山店,Bakery,王雅琴,1,23.51,23.51
SO-202608-0008,2026-08-06,北京朝阳店,Bakery,吴听澜,2,23.35,46.70
SO-202608-0008,2026-08-06,北京朝阳店,Bakery,吴听澜,2,23.35,46.70
SO-202608-0005,2026-08-08,北京朝阳店,Milk Tea,周知微,1,22.11,22.11
